Unsafe,Caution,Not enough data,Safe
CIPROFIBRATE,,,
CISATRACURIUM,,,
CISPLATINE,,,
CITRATE MONOPOTASSIQUE,,,
CITRATE MONOSODIQUE,,,
CITRULLINE,,,
CLADRIBINE,,,
CLIDINIUM,,,
CLOMIFENE,,,
CLOPIDOGREL,,,
CODEINE CAMPHOSULFONATE,,,
CODETHYLINE,,,
COLECALCIFEROL,,,
COLISTIMETHATE SODIQUE,,,
CRIZOTINIB,,,
CROTAMITON,,,
CUIVRE,,,
CUIVRE SULFATE,,,
CYANOCOBALAMINE,,,
CYCLOPENTOLATE,,,
CYPROTERONE,,,
CYSTEINE,,,
CYTARABINE,,,
DACARBAZINE,,,
DALTEPARINE SODIQUE,,,
DAPAGLIFLOZINE,,,
DAPAGLIFLOZINE PROPANEDIOL,,,
DARATUMUMAB,,,
DARBEPOETIN ALFA,,,
DASATINIB,,,
DEFERASIROX,,,
DEFERIPRONE,,,
DEFEROXAMINE,,,
DESFLURANE,,,
DESMOPRESSINE,,,
DETEMIR,,,
DEXKETOPROFENE,,,
DIGOXINE,,,
DIHYDROERGOCRYPTINE,,,
DIHYDROERGOTOXINE,,,
DINOPROSTONE,,,
DIOSMECTITE,,,
DIPYRIDAMOLE,,,
DISOPYRAMIDE PHOSPHATE,,,
DOBUTAMINE,,,
DOCETAXEL,,,
DONEPEZIL,,,
DOXAZOSINE,,,
DOXORUBICINE,,,
DUTASTERIDE,,,
DYDROGESTRONE,,,
EAU OXYGENEE,,,
ECONAZOLE NITRATE,,,
EMICIZUMAB,,,
EMPAGLIFLOZINE,,,
ENOXACINE,,,
ENTECAVIR,,,
EPHEDRINE,,,
EPIRUBICINE,,,
ERGOCALCIFEROL,,,
ERGOTAMINE TARTRATE,,,
ERLOTINIB,,,
ERYSIMUM,,,
ERYTHROPOIETINE HUMAINE,,,
ESTRIOL,,,
ETAMSYLATE,,,
ETHYLE CHLORURE,,,
ETILEFRINE,,,
ETOMIDATE,,,
ETOPOSIDE,,,
EUCALYPTOL,,,
EVEROLIMUS,,,
EXEMESTANE,,,
EZETIMIBE,,,
FACTEUR DE COAGULATION COURT -CIRCUITANT L'ACTIVITÉ DU FACTE,,,
FACTEUR IX,,,
FACTEUR IX II VII X,,,
FACTEUR VII A,,,
FACTEUR VIII,,,
"FACTEURS II,VII ,IX, X",,,
FEBUXOSTAT,,,
FENOFIBRATE,,,
FEREDETATE DE SODIUM,,,
FEUILLE DE SENNE,,,
FINASTERIDE,,,
FLUDARABINE,,,
FLUDROCORTISONE,,,
FLUOCINONIDE,,,
FLUOR,,,
FLUORESCEINE,,,
FLUOROURACILE,,,
FLUVESTRANT,,,
FOLINATE DE CALCIUM,,,
FONDAPARINUX SODIUM,,,
FSH,,,
FULVESTRANT,,,
FUMARATE DE FER,,,
GAIACOL,,,
GAIAZULENE,,,
GANCICLOVIR,,,
GEFITINIB,,,
GELATINE FLUIDE MODIFIEE,,,
GEMCITABINE,,,
GINKGO BILOBA,,,
GLARGINE,,,
GLICLAZIDE,,,
GLIMEPIRIDE,,,
GLIPIZIDE,,,
GLUCOSAMINE,,,
GLUCOSE-1-PHOSPHATE DISODIUM TETRAHYDRATE,,,
GLULISINE,,,
GLYCERINE,,,
GLYCOCOLLE,,,
GLYCOPYRRONIUM,,,
GLYCOPYRRONIUM BROMIDE,,,
GONADOTROPHINE CHORIONIQUE,,,
GONADOTROPHINE MENOPAUSIQUE HUMAINE,,,
GOSERELINE,,,
GRISEOFULVINE,,,
GUAIFENESINE,,,
GUSELKUMAB,,,
HEMATOPORPHYRINE,,,
HISTAMINE,,,
HUILE DE FOIE DE MORUE,,,
HUILE D'OEILLETTE ESTERS ÉTHYLIQUES DES ACIDES GRAS IODÉS,,,
HYALURONATE DE SODIUM,,,
HYDROCHLOROTHIZIDE,,,
HYDROCHLORTHIAZIDE,,,
HYDROQUINONE,,,
HYDROXOCOBALAMINE,,,
HYDROXYETHYLAMIDON,,,
HYDROXYPROPYLMETHYLCELLULOSE,,,
HYPOCHLORITE DE SODIUM,,,
HYPROMELLOSE,,,
IBRUTINIB,,,
