CODE_PCT,NOM_COMMERCIAL,NAME_MAIN,FORM,STRENGTH,PACKAGE,PRIX_PUBLIC,TARIF_REFERENCE,CATEGORIE,DCI,AP
302725,LYDOL 150 mg GELULE BT/14,LYDOL,Gélule,150 mg,BT/14,14.6,13.3,V,PREGABALINE,O
302724,LYDOL 75 mg GEL. BT/56,LYDOL,Gélule,75 mg,BT/56,56.2,50.232,V,PREGABALINE,O
302723,LYDOL 75 mg GELULE BT/14,LYDOL,Gélule,75 mg,BT/14,14.6,12.558,V,PREGABALINE,O
105531,LYRICA 150mg Gél Bt 56 (ex 103290),LYRICA,Gélule,150mg,Bt 56,84.33,53.2,V,PREGABALINE,O
105532,LYRICA 75mg Gél Bt 14 (ex 103291),LYRICA,Gélule,75mg,Bt 14,21.385,12.558,V,PREGABALINE,O
105523,LYRICA 75mg Gél Bt 56 (ex 104781),LYRICA,Gélule,75mg,Bt 56,84.33,50.232,V,PREGABALINE,O
102488,LYSANXIA Comp 10mg Bt 40,LYSANXIA,Comprimé,10mg,Bt 40,5.602,5.6,I,PRAZEPAM,N
102536,LYSANXIA Gttes Buv 1.5% Fl 20ml,LYSANXIA,Gouttes Buvables,,Fl 20ml,5.545,5.54,I,PRAZEPAM,N
301684,MAALOX CONTROLE  (EX OPRAALOX)   Gelule 20 MG FL 14,MAALOX CONTROLE  (EX OPRAALOX),Gélule,20 MG,FL 14,17.855,12.586,E,OMEPRAZOLE,N
301766,MAALOX CONTROLE ( EX OPRAALOX)  Gelule 20 MG FL 28,MAALOX CONTROLE ( EX OPRAALOX),Gélule,20 MG,FL 28,30.81,25.172,E,OMEPRAZOLE,N
103333,MADOPAR Comp Quadrisecable 250mg Bt 100,MADOPAR,Comprimé Sécable,250mg,Bt 100,76.092,76,E,BENSERAZIDE+LEVODOPA,N
100999,MAXIDEX Collyre Fl 5ml,MAXIDEX,Collyre,,Fl 5ml,2.033,2.03,E,DEXAMETHASONE,N
105300,MAXIDROL Collyre Fl 3ml,MAXIDROL,Collyre,,Fl 3ml,2.443,2.442,E,DEXAMETHASONE+NEOMYCINE+POLYMYXINE B,N
104047,MECIR LP Comp 0.4 mg BT 30,MECIR LP,Comprimé,0.4 mg,BT 30,37.04,28.14,I,TAMSULOSINE,N
105110,MECLON 500 MG/100MG Ov BT 10,MECLON,,500 MG/100MG,BT 10,17.794,17.79,I,CLOTRIMAZOLE+METRONIDAZOLE,N
301566,MEDAXON  Sol Inj 4 MG Bt 10,MEDAXON,Solution Injectable,4 MG,Bt 10,8.23,7.33,E,DEXAMETHASONE,N
303660,MEDAXON 4mg/ml Sol. Inj. Bt 10/1ml,MEDAXON,Solution Injectable,4mg/ml,Bt 10/1ml,9.03,7.33,E,DEXAMETHASONE,N
303658,MEDAXON 4mg/ml Sol. lnj. Bt 1 Amp./1ml,MEDAXON,Solution,4mg/ml,Bt 1 Amp./1ml,1.35,0.733,E,DEXAMETHASONE,N
303659,MEDAXON FORT 8mg Sol. lnj. Bt 1/2ml,MEDAXON FORT,Solution,8mg,Bt 1/2ml,1.565,1.25,E,DEXAMETHASONE,N
301943,MEDICLAV Comp Pell 500  MG/62.5 MG   FL 12,MEDICLAV,Comprimé Pelliculé,500  MG/62.5 MG,FL 12,9.03,7.32,E,AMOXICILLINE+ACIDE CLAVULANIQUE,N
301940,MEDICLAV Pdre P  Susp  Orale   100 MG/12.5 MG FL 60 ML,MEDICLAV,Suspension Buvable,100 MG/12.5 MG,FL 60 ML,8.79,8.76,E,AMOXICILLINE+ACIDE CLAVULANIQUE,N
301962,MEDICLAV Pdre P Sus Orale  1 GR/125 MG BT 12 Sachets,MEDICLAV,Poudre pour Suspension Buvable,125 MG,BT 12 Sachets,15.005,14.016,E,AMOXICILLINE+ACIDE CLAVULANIQUE,N
301939,MEDICLAV Pdre P Sus Orale  100 MG/12.5MG FL 30 ML,MEDICLAV,Poudre pour Suspension Buvable,100 MG/12.5MG,FL 30 ML,6.4,4.38,E,AMOXICILLINE+ACIDE CLAVULANIQUE,N
301941,MEDICLAV Pdre P Sus Orale 500 MG/62.5MG  FL 12 Sachets,MEDICLAV,Poudre pour Suspension Buvable,500 MG/62.5MG,FL 12 Sachets,7.815,7.044,E,AMOXICILLINE+ACIDE CLAVULANIQUE,N
302550,MEDIPREX 10 MG COMP PELL SEC BT/15,MEDIPREX,Comprimé Pelliculé Sécable,10 MG,BT/15,13.625,12.69,E,ESCITALOPRAM,N
