NAME_MAIN,STRENGTH,FORM,PACKAGE,DCI,LABO,PAYS,CODE_PCT,DATE AMM,G/P
ACTEMRA,162 mg/0.9 ml,Solution injectable,sous cutanée B/4 seringues Pré-remplis,TOCILIZUMAB,Roche Pharma (Schweiz) AG,SUISSE,6993204H,2019-08-22,Princeps
ACTHEANE,250 mg,Comprimé,B/120,ACTAEA RACEMOSA-ARNICA MONTANA-GLONOINUM-LACHESIS MUTUS-SANG,BOIRON,FRANCE,6873631,2018-01-15,Princeps
ACTICIL,0.6%,Solution buvable,FL/150 ml,AMBROXOL,GALPHARMA,Tunisie,9223452,2021-06-16,Générique
ACTICIL,30 mg,Comprimé,B/30,AMBROXOL,GALPHARMA,Tunisie,9223451,2018-03-07,Générique
ACTIFED RHUME,,Comprimé,B/20,PSEUDOEPHEDRINE+TRIPROLIDINE,TERIAK,Tunisie,9253262,2005-03-16,Princeps
ACTIFED RHUME ET FIEVRE,,Comprimé,B/16,PARACETAMOL+PSEUDOEPHEDRINE+TRIPROLIDINE,TERIAK,Tunisie,9253263,2005-03-16,Générique
ACTIFED VITAMINE C,,Comprimé pelliculé,B/20,PARACETAMOL+PSEUDOEPHEDRINE+VITAMINE C,TERIAK,Tunisie,9253261,2005-03-16,Générique
ACTILYSE,20 mg,Pdre p.prep.injectable,B/1 FL+FL/20ML,ALTEPLASE,BOEHRINGER INGELHEIM FRANCE,FRANCE,5253112H,2003-01-14,Princeps
ACTILYSE,10 mg,Pdre p.prep.injectable,B/1 FL+FL/10ML,ALTEPLASE,BOEHRINGER INGELHEIM FRANCE,FRANCE,5253111H,2003-01-14,Princeps
ACTILYSE,50 mg,Pdre p.prep.injectable,B/1 FL+FL/50ML,ALTEPLASE,BOEHRINGER INGELHEIM FRANCE,FRANCE,5253113H,2003-01-14,Princeps
ACTISOUFRE,4mg/50mg/10 ml,Suspension buvable ou nasale,B/30Ampoules/10 ml,MONOSULFURE DE SODIUM+LEVURES,GRIMBERG,FRANCE,10173042,2017-03-14,Princeps
ACTISOUFRE,,Solution pour pulvérisation buccale,FL/100 ml,MONOSULFURE DE SODIUM+LEVURES,GRIMBERG,FRANCE,10173041,2008-04-22,Princeps
