NAME_MAIN,STRENGTH,FORM,PACKAGE,DCI,LABO,PAYS,CODE_PCT,DATE AMM,G/P
CALCIUM D3 IAB,500MG/ 400 UI,Comprimé à sucer,FL/60,CALCIUM+VITAMINE D,IBN AL BAYTAR,Tunisie,9073481,2011-01-13,Générique
CALCIUM TERIAK,500 mg,Comprimé à sucer,B/28,CALCIUM,TERIAK,Tunisie,9253811,2014-12-04,Générique
CALIDRON,70 mg,Comprimé,B/4,ALENDRONATE,IBN AL BAYTAR,Tunisie,9073581,2014-09-17,Générique
CALMATUX,,Comprimé pelliculé,B/20,CODEINE+CODETHYLINE+ESPECES PECTORALES,SIPHAT,Tunisie,9000054,1993-12-20,Générique
CALMATUX ADULTE,,Sirop,FL/200 ML,CODEINE+ACIDE ASCORBIQUE+ESPECES PECTORALES,SIPHAT,Tunisie,9000051,1993-12-20,Générique
CALMATUX ENFANT,,Sirop,FL/125 ML,CODEINE+CODETHYLINE+ESPECES PECTORALES,SIPHAT,Tunisie,9000052,1993-12-20,Générique
CALMATUX NOURRISSONS,,Sirop,FL/90 ML,VITAMINE C+ESPECES PECTORALES+SODIUM BENZOATE,SIPHAT,Tunisie,9000053,1997-02-07,Générique
CALMIXENE,,Sirop,FL/150 ml,PIMETHIXENE,JUVISE PHARMACEUTICALS,FRANCE,14703011,2012-08-14,Princeps
CALYPTINE ENFANTS DE PLUS DE 30 MOIS,,Creme dermique,T/40 GR,EUCALYPTOL+MENTHOL PUR+SALICYLATE DE METHYLE+HUILE ESSENTIEL,PHARMADERM,Tunisie,9053012,1990-05-03,Générique
CAMILIA,,Solution buvable,B/30 récipients unidoses/1ml,PRODUITS HOMEOPATHIQUES,BOIRON,FRANCE,6873592,2015-08-31,Princeps
CAMILIA,,Solution buvable,B/10 récipients unidoses/1ml,PRODUITS HOMEOPATHIQUES,BOIRON,FRANCE,6873591,2009-06-01,Princeps
CAMYSTEN,1%,Creme dermique,T/30 GR,CLOTRIMAZOLE,OPALIA PHARMA,Tunisie,9023131,1994-03-30,Générique
CANCIDAS,50 mg,Pdre p.prep.injectable,B/1 flacon,CASPOFUNGINE,MERCK SHARP & DOHME BV,HOLLANDE,7013132H,2020-12-23,Princeps
CANCIDAS IV,70 mg,Pdre p.prep.injectable,B/1 flacon,CASPOFUNGINE,MERCK SHARP & DOHME B.V,HOLLANDE,7013131H,2020-12-23,Princeps
CANDESAR PLUS,8 mg/12.5 mg,Comprimé,B/90,CANDESARTAN CILEXETIL+HYDROCHLOROTHIAZIDE,DAR-ESSAYDALI.,Tunisie,9213402,2021-01-06,Générique
CANDESAR PLUS,8 mg/12.5 mg,Comprimé,B/30,CANDESARTAN CILEXETIL+HYDROCHLOROTHIAZIDE,DAR-ESSAYDALI.,Tunisie,9213401,2021-01-06,Générique
CANDESAR PLUS,16 mg/12.5 mg,Comprimé,B/90,CANDESARTAN CILEXETIL+HYDROCHLOROTHIAZIDE,DAR-ESSAYDALI.,Tunisie,9213404,2021-01-06,Générique
CANDESAR PLUS,16 mg/12.5 mg,Comprimé,B/30,CANDESARTAN CILEXETIL+HYDROCHLOROTHIAZIDE,DAR-ESSAYDALI.,Tunisie,9213403,2021-01-06,Générique
CANDISTOP,100 mg,Poudre pour solution à diluer pour perfusion,B/ 1FL,ANIDULAFUNGINE,LES LABORATOIRES MEDIS,Tunisie,ST923414H,2023-10-31,Générique
CANTALENE,,Comprimé à sucer,B/24,CHLORHEXIDINE+LYSOZYME+TETRACAINE,COOPERATION PHARMACEUTIQUE FRANCAISE,FRANCE,7623071,2013-11-07,Princeps
CAPECITABINE ACCORD,500 mg,Comprimé pelliculé,B/120,CAPECITABINE,ACCORD HEALTHCARE LTD,Rayaume uni,16923011H,2016-07-14,Générique
CAPECITABINE NEAPOLIS,500 mg,Comprimé pelliculé,B/120,CAPECITABINE,NEAPOLIS PHARMA,Tunisie,9393151H,2020-09-28,Générique
CAPECITABINE PHARMACARE,500 mg,Comprimé pelliculé,B/120,CAPECITABINE,PHARMACARE PREMIUM LIMITED,MALTE,24923021H,2024-07-09,Générique
CAPECITABINE VIATRIS,500 mg,Comprimé pelliculé,B/120,CAPECITABINE,VIATRIS SANTE,FRANCE,4923341H,2019-08-02,Générique
CAPOCARD 50,50 mg,Comprimé,B/20,CAPTOPRIL,Dar Al Dawa Development and Investment Co.Ltd,JORDANIE,5403203,2005-08-05,Générique
CARBAGLU,200 mg,Comprime dispersible,B/60,ACIDE CARGLUMIQUE,RECORDATI RARE DISEASES,FRANCE,24423012,2025-06-05,Princeps
CARBAGLU,200 mg,Comprime dispersible,B/5,ACIDE CARGLUMIQUE,RECORDATI RARE DISEASES,FRANCE,24423011,2025-06-05,Princeps
CARBODIAL,50 MG,Comprimé,B/90,ACARBOSE,NEAPOLIS PHARMA,Tunisie,ST9393111,2023-08-14,Générique
CARBODIAL,100 MG,Comprimé sécable,B/90,ACARBOSE,NEAPOLIS PHARMA,Tunisie,ST9393112,2023-08-14,Générique
CARBOGAM ADULTES SANS SUCRE,5%,Solution buvable,FL/300 ML,CARBOCISTEINE,PHARMAGHREB,Tunisie,9013471,2003-10-29,Générique
CARBOLESS 100,100 MG,Comprimé sécable,B/90,ACARBOSE,TAHA PHARMA,Tunisie,9373052,2015-05-29,Générique
CARBOLESS 50,50 mg,Comprimé,B/90,ACARBOSE,TAHA PHARMA,Tunisie,9373051,2015-05-29,Générique
CARBOPLATIN EBEWE,150 mg,Solution injectable,FL/15 ML,CARBOPLATINE,EBEWE Pharma,AUTRICHE,6943101H,2001-01-20,Générique
CARBOPLATIN MYLAN,150 mg,Solution injectable,FL/15 ML,CARBOPLATINE,MYLAN S.A.S,FRANCE,4923061H,2001-05-07,Générique
CARBOPLATINE ACTAVIS,50mg/5ml,Solution injectable pour perfusion,FL/5 ml,CARBOPLATINE,ACTAVIS Group PTC ehf,Islande,10243033H,2015-03-25,Générique
CARBOSTINE ADULTES,5%,Sirop,FL/125 ML,CARBOCISTEINE,PHARMADERM,Tunisie,9053101,1996-11-26,Générique
CARBOSTINE ENFANT,2%,Sirop,FL/125 ML,CARBOCISTEINE,PHARMADERM,Tunisie,9053103,1996-11-26,Générique
CARBOSTINE SANS SUCRE ADULTE,5%,Solution buvable,FL/200 ML,CARBOCISTEINE,PHARMADERM,Tunisie,9053102,1996-11-25,Générique
CARBOSYLANE ENFANT,70 mg/22.5 mg,Gélule,B/48 (B/24 doses de 2 gélules jumelées),CHARBON+SIMETHICONE,GRIMBERG,FRANCE,10173023,2009-07-15,Princeps
CARBUTOL,200 mg,Comprimé pelliculé,B/30,ACEBUTOLOL,ADWYA,Tunisie,9044051,2010-07-30,Générique
CARBUTOL,400 mg,Comprimé pelliculé sécable,B/30,ACEBUTOLOL,ADWYA,Tunisie,9044052,2010-07-30,Générique
CARDIOCINE,100 mg,Comprimé,B/30,ACIDE ACETYLSALICYLIQUE,ACT PHARMA,Tunisie,9363121,2020-04-14,Générique
CARDIOCINE,160 mg,Comprimé sécable,B/30,ACIDE ACETYLSALICYLIQUE,ACT PHARMA,Tunisie,9363123,2024-01-22,Générique
CARDIOCINE,100 mg,Comprimé,B/90,ACIDE ACETYLSALICYLIQUE,ACT PHARMA,Tunisie,9363122,2022-12-07,Générique
CARDULAR PP URO,4 mg,Comprimé à libération prolongée,B/30,DOXAZOSINE,Viatris Pharma GmbH Allemagne,Allemagne,26333011,2022-01-26,Princeps
CARPILO,,Collyre,Fl/3 ML,PILOCARPINE+CARTEOL,CHAUVIN,FRANCE,5283092,2001-01-13,Princeps
CARTEOL LP,2% (2gr/100ml),Collyre,B/30/0.2ml,CARTEOLOL,CHAUVIN,FRANCE,5283025,2016-05-25,Princeps
CARTEOL LP,1%,Collyre,FL/3ML,CARTEOLOL,CHAUVIN,FRANCE,5283023,2005-03-16,Princeps
CARTEOL LP,2%,Collyre,FL/3ML,CARTEOLOL,CHAUVIN,FRANCE,5283024,2005-03-09,Princeps
CARTIFOR,500 mg,Gélule,B/60,CHONDROITINE,PHARMAGHREB,Tunisie,9014101,2021-03-22,Générique
CARTILUM,500 mg,Gélule,B/60,CHONDROITINE,ACT PHARMA,Tunisie,9363051,2016-04-12,Générique
CATACOL,0.1%,Collyre,FL/10ML,INOSINE,ALCON FRANCE,FRANCE,6643081,1992-02-04,Princeps
CATAFLAM,25 mg,Comprimé drageifié,B/20,DICLOFENAC,TERIAK,Tunisie,9253671,2011-03-14,Princeps
CATAFLAM,50 mg,Comprimé drageifié,B/20,DICLOFENAC,TERIAK,Tunisie,9253672,2011-03-14,Princeps
CEBEMYXINE,,Pommade ophtalmique,T/5GR,NEOMYCINE+POLYMYXINE B,CHAUVIN,FRANCE,5280042,1992-05-23,Princeps
CEBEMYXINE,,Collyre,FL/10 ML,NEOMYCINE+POLYMYXINE B,CHAUVIN,FRANCE,5280043,2000-06-14,Princeps
CEBESINE,0.4%,Collyre,FL/5ML,OXYBUPROCAINE,CHAUVIN,FRANCE,5283052,2020-03-16,Princeps
CEBESINE,0.4%,Collyre,FL/10ML,OXYBUPROCAINE,CHAUVIN,FRANCE,5283051,1992-02-13,Princeps
CEBUTOL 400,400 MG,Comprimé pelliculé,B/32,ACEBUTOLOL,SIPHAT,Tunisie,9003482,1997-03-05,Générique
CEFAPOR IV,2 GR,Pdre p.prep.injectable,B/1 Flacon de lyophilisat,CEFTRIAXONE,LABESFAL - Laboratorios Almiro S.A,PORTUGAL,4333012H,2001-05-16,Générique
CEFAXONE IM,1 gr,Pdre p.prep.injectable,B/1FL + S/4 ML,CEFTRIAXONE,UNIMED,Tunisie,9093502,2005-10-28,Générique
CEFAXONE IM IV SC,0.5 GR,Pdre p.prep.injectable,B/1FL+Slvt/5 ML,CEFTRIAXONE,UNIMED,Tunisie,9093504,2010-07-30,Générique
CEFAXONE IM IV SC,250 mg,Pdre p.prep.injectable,B/1FL+Slvt/5 ML,CEFTRIAXONE,UNIMED,Tunisie,9093503,2010-07-30,Générique
CEFAXONE IM/IV,1 gr,Pdre p.prep.injectable,B/10 flacons sans solvant,CEFTRIAXONE,UNIMED,Tunisie,9093505H,2012-11-19,Générique
CEFAXONE IV,1 GR,Pdre p.prep.injectable,FL+S/10 ML,CEFTRIAXONE,UNIMED,Tunisie,9093501H,2005-01-06,Générique
CEFAZOL IM,1 gr,Pdre p.prep.injectable,B/1Fl + s/5ml,CEFAZOLINE,UNIMED,Tunisie,9093371,2003-07-01,Générique
CEFAZOL IM IV,1 GR,Pdre p.prep.injectable,B/1 fl+s/5ml,CEFAZOLINE,UNIMED,Tunisie,9093271,2002-12-27,Générique
CEFAZOL IM IV,1 GR,Pdre p.prep.injectable,B/25 flacons sans solvant,CEFAZOLINE,UNIMED,Tunisie,9093272H,2002-12-27,Générique
CEFORT,1 GR,Pdre p.prep.injectable,B/50 FL sans solvant,CEFTRIAXONE,ANTIBIOTICE S.A,ROMANIE,4223021H,2001-05-15,Générique
CEFOTIM IM,1 gr,Pdre p.prep.injectable,B/1+ Solvant/4 ML,CEFOTAXIME,UNIMED,Tunisie,9093361,2003-07-01,Générique
CEFRIN,125 MG/5ML,Poudre pour suspension orale,FL/100ML,CEFALEXINE,JULPHAR,Emirats Arabes Unis,7473013,1992-05-19,Générique
CEFRIN,250 MG,Poudre pour suspension orale,FL/100ML,CEFALEXINE,JULPHAR,Emirats Arabes Unis,7473011,1992-05-19,Générique
CEFTAZIDIME LABESFAL 1000 MG IM-IV,1000 mg,Pdre p.prep.injectable,B/50 FL+ 50 amp/ solvant/3 ml,CEFTAZIDIME,LABESFAL - Laboratorios Almiro S.A,PORTUGAL,4333063H,2013-03-13,Générique
CEFTAZIDIME LABESFAL 1000 MG IM-IV,1000 mg,Pdre p.prep.injectable,B/1 FL+ 1 amp. solvant/3 ml,CEFTAZIDIME,LABESFAL - Laboratorios Almiro S.A,PORTUGAL,4333062H,2013-03-13,Générique
CEFTAZIDIME LABESFAL 2 GR IM-IV,2000 mg,Pdre p.prep.injectable,B/1 FLACON,CEFTAZIDIME,LABESFAL - Laboratorios Almiro S.A,PORTUGAL,4333064H,2013-03-13,Générique
CEFTAZIDIME LABESFAL 500 MG IM-IV,500 mg,Pdre p.prep.injectable,B/1 FL+ 1 amp. solvt/1.5 ml,CEFTAZIDIME,LABESFAL - Laboratorios Almiro S.A,PORTUGAL,4333061H,2013-03-13,Générique
CEFTAZIM IM IV,1 gr,Pdre p.prep.injectable,B/1 fl s/solvant,CEFTAZIDIME,UNIMED,Tunisie,9093562H,2006-07-26,Générique
CEFTAZIM IM IV,0.5 gr,Pdre p.prep.injectable,B/1 fl s/solvant,CEFTAZIDIME,UNIMED,Tunisie,9093561H,2006-07-26,Générique
CEFTAZIM IV,2 gr,Pdre p.prep.injectable,B/1FL/ 20 ML+ set de transfert,CEFTAZIDIME,UNIMED,Tunisie,9093563H,2011-03-14,Générique
CEFTRIAXONE LABESFAL IV,1 GR,Pdre p.prep.injectable,B/1FL+S/10ML,CEFTRIAXONE,LABESFAL - Laboratorios Almiro S.A,PORTUGAL,4333011H,2001-05-16,Générique
CEFUROXIME KABI,1500 mg,Pdre p.prep.injectable,B/10 flacons/50 ml,CEFUROXIME,FRESENIUS KABI FRANCE,FRANCE,3153082,2015-12-23,Générique
CEFUROXIME KABI,750 mg,Pdre p.prep.injectable,B/10 flacons/15ml,CEFUROXIME,FRESENIUS KABI FRANCE,FRANCE,3153081,2015-11-04,Générique
CELASONE,0.05%,Lotion,FL/15 gr,BETAMETHASONE,DORCAS,Tunisie,9313201,2015-06-01,Générique
CELASONE,5 mg/ 100ml,Solution rectale,B/1 Flacon/100ml,BETAMETHASONE,DORCAS,Tunisie,9313202,2016-05-02,Générique
CELASONE4,(4 mg/1 ml),Solution injectable,B/3/1 ML,BETAMETHASONE,DORCAS,Tunisie,9313203,2016-07-12,Générique
CELLCEPT,500 MG,Comprimé,B/150,MYCOPHENOLATE MOFETIL,ROCHE PHARMA (SCHWEIZ) LTD SUISSE,SUISSE,6993132H,2002-06-12,Princeps
CELLCEPT,250 MG,Gélule,B/300,MYCOPHENOLATE MOFETIL,ROCHE PHARMA (SCHWEIZ) LTD SUISSE,SUISSE,6993131H,2002-06-12,Princeps
CEMIVIL,100 mg,Comprimé pelliculé sécable,B/30,IMATINIB,HIKMA Pharmaceuticals Co Ltd,JORDANIE,6653551H,2014-01-08,Générique
CEMIVIL,400 mg,Comprimé pelliculé sécable,B/30,IMATINIB,HIKMA Pharmaceuticals Co Ltd,JORDANIE,6653552H,2014-01-08,Générique
CEREZYME,400U,Poudre pour solution pour perfusion,B/1FL/20ML,IMIGLUCERASE,SANOFI B.V.,HOLLANDE,3843031H,2022-02-04,Princeps
CERNEVIT,,Pdre p.prep.injectable,B/10FL+S/5ML,VITAMINES,BAXTER SA Belgique,BELGIQUE,10153021,2015-12-01,Princeps
CERVARIX,20 µg /20 µg,Suspension injectable,B / 1 ser pré-remplie/0.5ml,VACCIN CONTRE LE PAPILLOMAVIRUS HUMAIN,Glaxo Smith KLine Biologicals S.A (RIXENSART),BELGIQUE,7063131,2009-08-07,Princeps
CETORNAN,5 GR,Poudre pour solution orale,B/10 SACHETS,OXYGLURATE NEUTRE DE L+ ORNITHINE MONOHYDRAT,CHIESI S.A.S,FRANCE,1263081,2017-04-26,Princeps
CHEFIX,,Liniment,FL/5ML,EUCALYPTOL+MENTHOL PUR+SALICYLATE DE METHYLE,PHARMADERM,Tunisie,9053071,1993-10-13,Générique
CHLORHEXIDINE ALCOOLIQUE,2%,Solution externe,FL/250 ml,CHLORHEXIDINE,SIMED,Tunisie,9083701,2017-02-21,Générique
CHLORHEXIL COLOREE,,Solution externe,Fl/125 ml,CHLORHEXIDINE,PHARMAGHREB,Tunisie,9013411,2001-02-10,Générique
CHLORHYDRATE DE LIDOCAINE,1%,Solution injectable,B/1/4 ML,LIDOCAINE,UNIMED,Tunisie,9093421,2003-12-24,Générique
CHLORHYDRATE DE LIDOCAINE,1%,Solution injectable,B/1/5 ML,LIDOCAINE,UNIMED,Tunisie,9093422,2003-12-24,Générique
CHLOROHISTOL,4 MG,Comprimé sécable,B/20,CHLORPHENIRAMINE,JULPHAR,Emirats Arabes Unis,7473061,1993-01-13,Générique
CHLOROSEPTIL,1.5%,Solution moussante,fl/300 ml,CHLORHEXIDINE,PHARMADERM,Tunisie,9053272,2016-12-01,Générique
CHLOROSEPTIL,1.5%,Solution moussante,fl/100 ml,CHLORHEXIDINE,PHARMADERM,Tunisie,9053271,2016-12-01,Générique
CHLORURE DE CALCIUM,10%,Solution injectable,B/10 FL/5 ML,CALCIUM,UNIMED,Tunisie,9093171A,1995-02-18,Générique
CHLORURE DE CALCIUM,10%,Solution injectable,B/100 FL/5ML,CALCIUM,UNIMED,Tunisie,9093171AH,1995-02-18,Générique
CHLORURE DE CALCIUM,10%,Solution injectable,B/100FL/10 ML,CALCIUM,UNIMED,Tunisie,9093171BH,1995-02-18,Générique
CHLORURE DE POTASSIUM,500 mg,Comprimé,B/400,POTASSIUM CHLORURE,SIPHAT,Tunisie,9003751H,2001-02-10,Générique
CHLORURE DE POTASSIUM,10%,Solution injectable,B/100/10ML,CHLORURE DE POTASSIUM,UNIMED,Tunisie,9093082H,1995-06-15,Générique
CHLORURE DE POTASSIUM UNIMED,7.46 %,Solution injectable,B/10/10 ML,CHLORURE DE POTASSIUM,UNIMED,Tunisie,9093081A,1994-04-08,Générique
CHLORURE DE POTASSIUM UNIMED,7.46 %,Solution injectable,B/100/10ML,POTASSIUM,UNIMED,Tunisie,9093081BH,1994-04-08,Générique
CHLORURE DE SODIUM,0.9%,Solution injectable pour perfusion,P/1000 ML,CHLORURE DE SODIUM,SIPHAT,Tunisie,9003332,1993-12-04,Générique
CHLORURE DE SODIUM,0.9%,Solution injectable pour perfusion,P/500 ML,CHLORURE DE SODIUM,SIPHAT,Tunisie,9003331,1993-12-04,Générique
CHLORURE DE SODIUM,0.9%,Solution injectable pour perfusion,FL/250 ml,CHLORURE DE SODIUM,SIPHAT,Tunisie,9003652,2000-06-22,Générique
CHLORURE DE SODIUM UNIMED,10%,Solution injectable,B/100/10ML,CHLORURE DE SODIUM,UNIMED,Tunisie,9093091BH,1994-04-08,Générique
CHLORURE DE SODIUM 0.9%,,Solution injectable pour perfusion,P/500 ml,CHLORURE DE SODIUM,INFOMED Pharma,Tunisie,9193113,2012-12-26,Générique
CHLORURE DE SODIUM 0.9%,,Solution injectable pour perfusion,P/100 ml,CHLORURE DE SODIUM,INFOMED Pharma,Tunisie,9193111,2012-12-26,Générique
CHLORURE DE SODIUM 0.9%,,Solution injectable pour perfusion,P/1000 ml,CHLORURE DE SODIUM,INFOMED Pharma,Tunisie,9193114,2012-12-26,Générique
CHLORURE DE SODIUM 0.9%,,Solution injectable pour perfusion,P/3000 ml,CHLORURE DE SODIUM,INFOMED Pharma,Tunisie,9193115,2012-12-26,Générique
CHLORURE DE SODIUM 0.9%,0.9%,Solution injectable pour perfusion,P/500 ml,CHLORURE DE SODIUM,INFOMED Pharma,Tunisie,9193116H,2015-03-30,Générique
CHLORURE DE SODIUM 0.9% UNIMED,,Solution injectable pour perfusion,Poche multicouche/500 ml,CHLORURE DE SODIUM,UNIMED,Tunisie,9093614,2013-11-11,Générique
CHLORURE DE SODIUM 0.9% UNIMED,,Solution injectable pour perfusion,Poche multicouche/1000 ml,CHLORURE DE SODIUM,UNIMED,Tunisie,9093615H,2015-07-29,Générique
CHLORURE DE SODIUM 0.9% UNIMED,,Solution injectable pour perfusion,Poche/50 ml,CHLORURE DE SODIUM,UNIMED,Tunisie,9093616H,2015-07-29,Générique
CHLORURE DE SODIUM 0.9% UNIMED,,Solution injectable pour perfusion,Poche multicouche/50 ml,CHLORURE DE SODIUM,UNIMED,Tunisie,9093617H,2016-04-28,Générique
CHLORURE DE SODIUM 0.9% UNIMED,,Solution injectable pour perfusion,Poche multicouche/100 ml,CHLORURE DE SODIUM,UNIMED,Tunisie,9093618H,2016-04-28,Générique
CHLORURE DE SODIUM 0.9% UNIMED,,Solution injectable pour perfusion,Poche multicouches/1000 ml,CHLORURE DE SODIUM,UNIMED,Tunisie,90936110H,2018-02-22,Générique
CHLORURE DE SODIUM 0.9% UNIMED,,Solution injectable pour perfusion,Poche multicouches/500 ml,CHLORURE DE SODIUM,UNIMED,Tunisie,9093619H,2018-02-22,Générique
CHLORURE DE SODIUM 0.9% UNIMED,,Solution injectable pour perfusion,Poche multicouche/250 ml sans suremballage,CHLORURE DE SODIUM,UNIMED,Tunisie,90936111H,2020-05-14,Générique
CHLORURE DE SODIUM 0.9% UNIMED,,Solution injectable pour perfusion,Poche multicouche/250 ml avec suremballage,CHLORURE DE SODIUM,UNIMED,Tunisie,90936112H,2020-05-14,Générique
CHLORURE DE SODIUM 0.9% UNIMED,,Solution injectable pour perfusion,Poche/500 ml,CHLORURE DE SODIUM,UNIMED,Tunisie,9093611,2007-12-31,Générique
CHLORURE DE SODIUM 09%,,Solution injectable pour perfusion,P/250 ml,CHLORURE DE SODIUM,INFOMED Pharma,Tunisie,9193112,2012-12-26,Générique
CHLORURE DE SODIUM 9 P/MILLE UNIMED,,Solution injectable pour perfusion,Fl en PP/500 ml,CHLORURE DE SODIUM,UNIMED,Tunisie,9093582,2014-11-28,Générique
CHLORURE DE SODIUM 9 P/MILLE UNIMED,0.9%,Solution injectable pour perfusion,Fl/500 ml,CHLORURE DE SODIUM,UNIMED,Tunisie,9093581,2007-05-09,Générique
CHLORURE DE SODIUM A 0.9%,,Solution injectable pour perfusion,P/100 ML,CHLORURE DE SODIUM,INFOMED Pharma,Tunisie,9193013,1998-07-16,Générique
CHLORURE DE SODIUM A 0.9%,,Solution injectable pour perfusion,P/250 ML,CHLORURE DE SODIUM,INFOMED Pharma,Tunisie,9193014,1998-07-16,Générique
CHLORURE DE SODIUM A 0.9%,,Solution injectable pour perfusion,P/500 ML,CHLORURE DE SODIUM,INFOMED Pharma,Tunisie,9193011,1998-07-16,Générique
CHLORURE DE SODIUM A 0.9%,0.9%,Solution injectable pour perfusion,P/1000 ML,CHLORURE DE SODIUM,INFOMED Pharma,Tunisie,9193012,1998-07-16,Générique
CHLORURE DE SODIUM A 0.9%,,Solution injectable pour perfusion,P/3000 ML,CHLORURE DE SODIUM,INFOMED Pharma,Tunisie,9193015,1998-07-16,Générique
CHLORURE DE SODIUM A 10%,10%,Solution injectable pour perfusion,FL/500 ML,CHLORURE DE SODIUM,SIPHAT,Tunisie,9003641,1997-11-28,Générique
CHLORURE DE SODIUM INFOMED FLUIDS,0.9%,Solution injectable pour perfusion,Poche/250 ml,CHLORURE DE SODIUM,S.C.INFOMED FLUIDS S.R.L.,ROMANIE,12663012,2010-07-27,Générique
CHLORURE DE SODIUM INFOMED FLUIDS,0.9%,Solution injectable pour perfusion,Poche/500 ml,CHLORURE DE SODIUM,S.C.INFOMED FLUIDS S.R.L.,ROMANIE,12663011,2010-07-27,Générique
CHLORURE DE SODIUM ISOTONIQUE,0.9%,Solution injectable pour perfusion,FL/500ML,CHLORURE DE SODIUM,SIPHAT,Tunisie,9003651,1998-04-14,Générique
CHLORURE DE SODIUM PROAMP.,0.2gr /ml (20%),Solution injectable pour perfusion,B/50/10 ML,CHLORURE DE SODIUM,LABORATOIRE AGUETTANT,FRANCE,7093213H,2009-03-03,Générique
CHLORURE DE SODIUM0.9%UNIMED,,Solution injectable pour perfusion,Poche/100 ml,CHLORURE DE SODIUM,UNIMED,Tunisie,9093612,2007-12-26,Générique
CHONDROSULF,400 mg,Gélule,B/84,CHONDROITINE,GENEVRIER S.A,FRANCE,5583031,2017-07-18,Princeps
CIAPLUS,20 mg,Comprimé pelliculé,B/8,TADALAFIL,ADWYA,Tunisie,9044234,2015-10-12,Générique
CIAPLUS,20 mg,Comprimé pelliculé,B/4,TADALAFIL,ADWYA,Tunisie,9044233,2015-10-12,Générique
CIAPLUS,10 mg,Comprimé pelliculé sécable,B/4,TADALAFIL,ADWYA,Tunisie,9044231,2015-10-12,Générique
CIAPLUS,10 mg,Comprimé pelliculé sécable,B/8,TADALAFIL,ADWYA,Tunisie,9044232,2015-10-12,Générique
CIAPLUS,5 mg,Comprimé pelliculé,B/30,TADALAFIL,ADWYA,Tunisie,9044235,2021-11-19,Générique
CIBLOR ENFANT,100 mg/12.5mg/ml,Poudre pour suspension orale,FL/60 ml + seringue doseuse,AMOXICILLINE+ACIDE CLAVULANIQUE,PIERRE FABRE MEDICAMENT PRODUCTION TUNISIE,Tunisie,ST9323191,2019-06-19,Générique
CICADERMA,,Pommade dermique,T/30 GR,ACHILLEE MILLEFEUILLE+CALENDULA TM+LEDUM PALUSTRE......,BOIRON,FRANCE,6873031,1990-06-13,Princeps
CICLAID,100 mg/ml,Solution buvable,FL/50 ml,CICLOSPORINE,LES LABORATOIRES MEDIS,Tunisie,9233831H,2016-06-08,Générique
CIDOMYCINE 20,20 mg / 2 ml,Solution injectable,B/5/2 ml,GENTAMICINE,SAIPH,Tunisie,9163491,2004-06-29,Générique
CIFLOXET 200,200 mg/100ml,Solution injectable,FL/100 ml,CIPROFLOXACINE,DORCAS,Tunisie,9313021H,2009-07-01,Générique
CIFLOXET 200,200 mg/100ml,Solution injectable,B/6 flacons/100 ml,CIPROFLOXACINE,DORCAS,Tunisie,9313022H,2012-12-26,Générique
CIFLOXIN,500 MG,Comprimé pelliculé,B/14,CIPROFLOXACINE,TERIAK,Tunisie,9253421,2007-09-03,Générique
CILOXAN,0.3%,Collyre,FL/5 ML,CIPROFLOXACINE,ALCON FRANCE,FRANCE,6643142,2007-08-23,Princeps
CIMET 200,100mg/ml,Solution injectable,B/5/2 ml,CIMETIDINE,DORCAS,Tunisie,9313131,2012-08-16,Générique
CIMZIA,200 mg,Solution injectable,B/2 seringues/ml +2 tampons alcoolisés,CERTOLIZUMAB,UCB PHARMA SA BELGIQUE,BELGIQUE,3113031H,2014-02-20,Princeps
CIPRO 200,200 MG/100ml,Solution injectable pour perfusion,B/12 FL/100 ML,CIPROFLOXACINE,LES LABORATOIRES MEDIS,Tunisie,9233295H,2021-03-26,Générique
CIPRO 200,200 MG/100ml,Solution injectable pour perfusion,FL/100 ML pour perfusion,CIPROFLOXACINE,LES LABORATOIRES MEDIS,Tunisie,9233291,2003-10-29,Générique
CIPRO 500,500 mg,Comprime enrobé,B/14,CIPROFLOXACINE,LES LABORATOIRES MEDIS,Tunisie,9233293,2004-10-07,Générique
CIPRO 750,750 mg,Comprime enrobé,B/14,CIPROFLOXACINE,LES LABORATOIRES MEDIS,Tunisie,9233294,2004-10-07,Générique
CIPRO INJECT,200 mg/100ml,Solution pour perfusion,B/1FL/100ML,CIPROFLOXACINE,STERIPHARM,Tunisie,9443241H,2025-07-22,Générique
CIPROFLO INFO,2 mg/ml,Solution injectable pour perfusion,POCHE 200 ml,CIPROFLOXACINE,INFOMED Pharma,Tunisie,9193172H,2019-02-06,Générique
CIPROFLO INFO,2 mg/ml,Solution injectable pour perfusion,POCHE 100 ml,CIPROFLOXACINE,INFOMED Pharma,Tunisie,9193171H,2019-02-06,Générique
CIPROFLOXACINE AGUETTANT,200 mg/100ml,Solution injectable pour perfusion,B/20 poches/100 ml,CIPROFLOXACINE,LABORATOIRE AGUETTANT,FRANCE,7093271H,2012-05-04,Générique
CIPROFLOXACINE KABI,400 mg/200ml,Solution injectable pour perfusion,poche/200 ml,CIPROFLOXACINE,FRESENIUS KABI FRANCE,FRANCE,3153071H,2015-04-07,Générique
CIPROFLOXACINE KABI,200 mg/100ml,Solution injectable pour perfusion,poche/100 ml,CIPROFLOXACINE,FRESENIUS KABI FRANCE,FRANCE,3153072H,2015-04-07,Générique
